gene_id	Phe-2B-Rep1_L1	Phe-2B-Rep1_L2	Phe-2B-Rep1_L3	Phe-2M-Rep1_L1	Phe-2M-Rep1_L2	Phe-2M-Rep1_L3	Phe-4B-Rep1_L1	Phe-4B-Rep1_L2	Phe-4B-Rep1_L3	Phe-4M-Rep1_L1	Phe-4M-Rep1_L2	Phe-4M-Rep1_L3
PH02Gene00001	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00002	4	13	5	11	5	2	5	9	3	6	2	3
PH02Gene00003	540	1444	735	1288	676	571	545	417	528	512	221	279
PH02Gene00004	321	770	415	644	336	275	272	171	207	30	11	26
PH02Gene00005	28	79	37	70	38	27	50	35	52	162	88	94
PH02Gene00006	263	718	289	459	242	177	205	177	210	204	94	142
PH02Gene00007	2	6	2	9	3	8	32	27	39	399	166	235
PH02Gene00008	13	21	15	18	9	4	33	15	16	197	60	105
PH02Gene00009	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00010	30	91	48	91	50	27	103	81	85	329	133	172
PH02Gene00011	5	11	9	4	5	5	1	5	2	9	2	2
PH02Gene00012	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00013	10	11	5	16	14	6	17	21	26	11	0	5
PH02Gene00014	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00015	0	1	0	5	2	2	14	8	8	11	9	5
PH02Gene00016	638	1679	849	1422	742	542	788	524	648	620	261	324
PH02Gene00017	423	928	479	894	500	398	514	344	475	482	210	263
PH02Gene00018	632	1754	841	2144	1063	979	2684	2019	2507	2676	1205	1503
PH02Gene00019	1421	3896	1943	3321	1690	1446	1929	1485	1755	2214	910	1228
PH02Gene00020	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00021	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00022	408	1050	596	832	475	357	410	294	389	340	146	174
PH02Gene00023	9	22	13	15	15	4	10	11	11	28	4	22
PH02Gene00024	79	156	95	207	120	93	117	77	110	129	51	70
PH02Gene00025	83	171	85	128	70	65	86	66	66	81	51	54
PH02Gene00026	2375	6395	3121	4371	2223	1953	2876	2080	2468	3135	1350	1627
PH02Gene00027	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00028	251	694	337	744	333	260	393	292	369	254	113	150
PH02Gene00029	0	0	0	0	0	0	0	0	0	0	0	0
PH02Gene00030	0	0	0	0	0	0	0	0	1	0	0	0
PH02Gene00031	46	130	57	171	83	41	172	176	151	228	105	135
PH02Gene00032	259	779	380	640	380	291	251	188	219	120	81	71
