geneid	mean_length	median_length	polya_reads_num	count
PH02Gene15724	124.8	151.3	10	15
PH02Gene09742	175.35	175.35	1	1
PH02Gene10936	121.06	124.0	9	13
PH02Gene06176	85.99	86.24	17	24
PH02Gene18889	64.54	66.38	50	75
PH02Gene07078	94.49	82.34	10	12
PH02Gene13068	46.75	46.12	4	4
PH02Gene46781	119.78	119.16	8	12
PH02Gene01039	69.67	71.01	44	54
PH02Gene30190	140.33	112.97	4	6
PH02Gene41920	288.36	288.36	1	1
PH02Gene35056	95.82	80.13	33	48
PH02Gene33546	170.04	170.04	1	2
PH02Gene20448	87.99	75.47	43	70
PH02Gene15788	79.49	73.59	51	87
PH02Gene34322	217.15	197.52	5	11
PH02Gene34895	153.44	136.5	15	19
PH02Gene13357	114.41	104.38	18	20
PH02Gene34058	82.36	81.29	26	38
PH02Gene36901	68.25	65.9	27	40
PH02Gene00298	40.76	40.76	1	1
PH02Gene13238	37.18	37.18	1	1
PH02Gene20443	91.99	91.99	2	2
PH02Gene12330	98.52	93.34	4	9
PH02Gene07423	57.08	51.17	251	345
PH02Gene06218	102.22	116.48	15	26
PH02Gene46250	97.33	88.35	54	78
PH02Gene07037	60.14	41.68	3	4
PH02Gene22284	190.86	193.82	17	25
PH02Gene01752	48.1	48.1	1	2
PH02Gene01510	130.97	123.58	21	28
PH02Gene34948	115.77	116.54	4	6
PH02Gene30130	116.36	118.83	29	39
PH02Gene15619	100.5	92.38	14	28
PH02Gene35286	135.48	135.48	2	5
PH02Gene06950	96.67	96.67	1	1
PH02Gene46660	97.91	97.9	2	4
PH02Gene29004	140.37	124.75	9	12
PH02Gene46776	70.23	70.23	1	1
PH02Gene13604	121.38	104.64	7	11
PH02Gene06709	79.57	68.21	31	43
PH02Gene11317	125.04	156.52	3	4
PH02Gene18309	92.77	88.85	19	32
PH02Gene34516	83.8	83.8	2	3
PH02Gene12932	153.81	144.08	27	32
PH02Gene20283	71.02	62.0	21	26
PH02Gene07835	105.0	90.41	7	10
PH02Gene34321	53.67	42.81	10	13
PH02Gene21199	98.97	91.74	86	112
PH02Gene43997	263.96	263.96	1	3
PH02Gene36026	57.8	47.17	15	19
PH02Gene47153	59.53	58.08	62	80
PH02Gene28932	82.62	78.21	5	6
PH02Gene38532	13.23	13.23	1	3
PH02Gene10130	98.8	94.34	16	18
PH02Gene23004	258.55	261.72	7	8
PH02Gene04678	76.69	71.24	6	11
PH02Gene25896	69.46	69.46	1	1
PH02Gene42132	55.24	38.43	17	22
PH02Gene38056	76.18	62.7	25	41
PH02Gene15399	111.39	115.02	32	45
PH02Gene48896	68.73	66.04	13	22
PH02Gene03339	76.94	64.5	12	17
PH02Gene35303	101.35	88.7	25	35
PH02Gene06746	100.49	100.49	2	7
PH02Gene28535	137.1	126.52	9	11
PH02Gene36278	97.78	97.68	3	4
PH02Gene15311	11.27	11.27	1	3
PH02Gene36271	45.1	37.33	10	13
PH02Gene35771	60.04	53.26	172	235
PH02Gene38569	178.37	196.42	9	12
PH02Gene08494	128.33	118.54	17	21
PH02Gene17591	48.87	40.27	9	17
PH02Gene22445	63.11	60.3	64	88
PH02Gene33746	78.1	62.9	83	113
PH02Gene45006	67.92	64.98	42	54
PH02Gene46644	165.09	169.04	8	8
PH02Gene01135	85.65	87.39	11	13
PH02Gene49807	158.46	197.33	5	7
PH02Gene47651	81.82	78.76	14	26
PH02Gene16680	69.12	61.71	105	137
PH02Gene06655	79.5	78.0	23	25
PH02Gene15973	83.2	75.91	68	87
PH02Gene17175	82.77	72.38	319	425
PH02Gene50740	130.15	109.73	6	8
PH02Gene14031	171.72	166.62	10	15
PH02Gene42274	140.96	140.96	1	2
PH02Gene32659	84.44	83.37	63	80
PH02Gene30411	163.88	162.59	4	8
PH02Gene38648	75.64	72.26	15	27
PH02Gene03246	81.87	58.17	19	32
PH02Gene30297	52.48	49.79	623	831
PH02Gene29116	64.18	68.54	5	6
PH02Gene04605	95.59	54.22	5	12
PH02Gene03708	98.83	102.33	7	9
PH02Gene34713	65.93	65.62	18	33
PH02Gene00839	156.8	143.12	12	14
PH02Gene02793	73.73	73.73	1	1
PH02Gene06519	62.87	55.38	337	440
PH02Gene30490	103.53	95.48	22	27
PH02Gene28705	124.02	67.32	5	8
PH02Gene04348	32.96	32.96	1	1
PH02Gene23352	123.14	98.27	22	25
PH02Gene25375	112.58	112.58	1	1
PH02Gene27380	55.63	46.79	45	59
PH02Gene25680	73.83	65.59	45	60
