geneid	mean_length	median_length	polya_reads_num	count
PH02Gene29083	86.71	86.71	2	2
PH02Gene20153	51.03	43.64	44	57
PH02Gene13091	36.53	25.4	3	4
PH02Gene01918	38.04	35.97	5	6
PH02Gene06163	40.37	40.37	1	1
PH02Gene30344	109.42	76.76	20	30
PH02Gene03088	65.83	58.4	19	22
PH02Gene24683	61.04	61.04	1	2
PH02Gene49957	122.17	124.46	9	10
PH02Gene32870	284.87	284.87	1	1
PH02Gene47970	157.51	153.18	4	10
PH02Gene07003	92.57	88.66	22	27
PH02Gene05657	69.92	62.38	111	153
PH02Gene29194	233.93	233.93	1	1
PH02Gene47943	95.65	59.84	6	6
PH02Gene29469	108.01	85.78	19	29
PH02Gene10949	54.81	54.82	2	2
PH02Gene38629	90.4	68.69	12	19
PH02Gene07046	56.68	35.62	5	7
PH02Gene31662	88.91	88.91	1	1
PH02Gene33685	37.03	37.03	1	1
PH02Gene17811	74.68	49.13	13	17
PH02Gene07275	132.7	132.7	1	2
PH02Gene07486	86.39	82.68	188	235
PH02Gene08241	143.4	143.4	2	2
PH02Gene31461	98.84	94.89	19	30
PH02Gene11198	30.03	30.03	1	1
PH02Gene14158	127.66	104.55	7	8
PH02Gene03051	57.64	55.52	7	8
PH02Gene23935	93.42	97.88	19	29
PH02Gene07312	81.43	81.43	1	1
PH02Gene35567	109.72	124.62	3	4
PH02Gene22016	89.76	102.94	8	9
PH02Gene15096	109.42	101.85	3	5
PH02Gene09676	66.94	67.62	36	52
PH02Gene09988	75.44	63.46	44	57
PH02Gene13901	98.44	72.66	9	13
PH02Gene17772	26.92	26.92	1	1
PH02Gene43222	114.64	114.64	1	1
PH02Gene21002	90.02	93.4	8	10
PH02Gene20952	108.58	108.58	2	2
PH02Gene14041	148.32	148.32	1	2
PH02Gene04991	184.14	226.48	5	5
PH02Gene44855	183.15	207.33	3	3
PH02Gene31607	120.95	120.96	2	3
PH02Gene46749	80.87	75.14	16	20
PH02Gene17525	52.26	40.74	10	12
PH02Gene40650	114.61	76.52	41	57
PH02Gene36884	86.75	75.66	4	4
PH02Gene01386	127.38	131.06	20	24
PH02Gene12878	104.88	109.64	7	10
PH02Gene14293	262.83	262.83	1	3
PH02Gene38865	113.28	91.0	30	37
PH02Gene30458	78.22	62.71	13	19
PH02Gene03080	43.58	38.3	23	25
PH02Gene27989	55.38	55.38	1	1
PH02Gene01814	129.18	119.48	3	3
PH02Gene10116	85.16	58.5	6	10
PH02Gene39965	90.16	76.65	20	27
PH02Gene17672	170.94	170.94	1	1
PH02Gene26158	73.63	62.15	17	24
PH02Gene41513	76.65	50.36	21	28
PH02Gene33821	119.96	117.03	7	11
PH02Gene41247	64.21	61.7	57	74
PH02Gene05042	83.93	67.22	55	74
PH02Gene18427	59.55	47.24	83	112
PH02Gene01084	175.12	175.12	1	2
PH02Gene14356	116.36	74.19	9	9
PH02Gene29250	92.22	105.97	3	5
PH02Gene15788	85.51	76.75	72	93
PH02Gene18973	114.05	114.04	2	2
PH02Gene42094	87.45	78.78	54	66
PH02Gene30930	53.74	45.91	9	12
PH02Gene12241	54.68	32.32	3	3
PH02Gene36093	80.57	71.72	29	49
PH02Gene16295	19.7	19.7	1	2
PH02Gene22820	60.44	51.72	59	81
PH02Gene29034	89.98	89.98	2	2
PH02Gene23275	60.78	54.9	82	116
PH02Gene14118	107.43	101.96	17	20
PH02Gene43414	203.0	185.61	6	7
PH02Gene20140	94.48	97.69	11	15
PH02Gene40075	63.83	63.83	1	1
PH02Gene41208	50.25	44.56	32	41
PH02Gene30912	76.24	65.42	37	47
PH02Gene14480	18.33	18.33	1	1
PH02Gene30071	46.68	33.73	3	5
PH02Gene20594	103.32	98.99	24	37
PH02Gene25439	93.19	93.19	1	1
PH02Gene12490	155.0	147.26	14	20
PH02Gene48238	87.14	100.87	16	21
PH02Gene24181	103.89	78.52	7	7
PH02Gene24987	232.96	239.86	4	5
PH02Gene19667	65.31	65.31	2	3
PH02Gene01970	92.57	92.57	1	1
PH02Gene20401	102.73	106.32	5	6
PH02Gene14016	67.59	50.77	5	16
PH02Gene40375	79.05	78.35	18	25
PH02Gene17009	94.63	84.61	60	76
PH02Gene04259	48.17	47.65	7	7
PH02Gene29565	73.22	73.22	1	2
PH02Gene31521	121.08	140.33	3	4
PH02Gene30886	32.66	37.56	5	5
PH02Gene37309	63.4	58.0	403	531
PH02Gene07237	81.4	87.04	14	19
PH02Gene08443	109.23	71.44	4	6
PH02Gene39588	98.58	104.0	9	13
PH02Gene40236	68.86	59.29	98	130
PH02Gene10678	78.85	66.76	110	150
PH02Gene16290	123.43	138.44	14	19
PH02Gene39408	77.83	63.36	34	55
PH02Gene15385	58.62	54.29	11	13
PH02Gene07884	39.22	31.08	3	7
PH02Gene28711	86.08	88.25	3	4
PH02Gene44637	99.65	90.67	20	33
PH02Gene05052	79.55	79.55	1	3
PH02Gene49526	94.49	92.45	5	6
PH02Gene22944	150.29	144.65	9	11
PH02Gene15241	91.48	82.84	35	48
PH02Gene33214	83.17	78.38	6	8
PH02Gene20012	97.51	64.55	5	6
PH02Gene41343	83.5	72.82	8	13
PH02Gene29012	67.56	69.0	13	15
PH02Gene33483	83.33	59.24	4	6
PH02Gene28771	64.69	54.3	42	55
PH02Gene15934	107.03	101.74	14	18
PH02Gene11153	68.93	68.93	1	2
PH02Gene48954	73.35	60.0	53	67
