gene_name	scaffold	position	mod_num	total_num	mod_ratio	label	exon_label	label_group	strand
PH02Gene46726	hic_scaffold_13	88388834	116	203	0.5714285714285714	utr3p1	exon5	utr3p	-
PH02Gene46726	hic_scaffold_13	88388925	21	205	0.1024390243902439	utr3p1	exon5	utr3p	-
PH02Gene46726	hic_scaffold_13	88389035	24	199	0.1206030150753768	cds5	exon5	cds	-
PH02Gene46726	hic_scaffold_13	88389104	62	193	0.3212435233160621	cds5	exon5	cds	-
PH02Gene46726	hic_scaffold_13	88389855	71	183	0.3879781420765027	cds4	exon4	cds	-
PH02Gene46726	hic_scaffold_13	88390675	75	177	0.423728813559322	cds3	exon3	cds	-
PH02Gene46726	hic_scaffold_13	88390679	37	177	0.2090395480225988	cds3	exon3	cds	-
PH02Gene13481	hic_scaffold_10	1246895	30	104	0.2884615384615384	cds2	exon2	cds	+
PH02Gene13481	hic_scaffold_10	1247235	22	170	0.1294117647058823	cds3	exon3	cds	+
PH02Gene13481	hic_scaffold_10	1247436	97	177	0.5480225988700564	cds3	exon3	cds	+
PH02Gene13481	hic_scaffold_10	1247535	97	182	0.532967032967033	cds3	exon3	cds	+
PH02Gene08242	hic_scaffold_18	10538140	123	416	0.2956730769230769	cds4	exon4	cds	+
PH02Gene08242	hic_scaffold_18	10538168	62	420	0.1476190476190476	cds4	exon4	cds	+
PH02Gene08242	hic_scaffold_18	10538455	30	450	0.0666666666666666	cds4	exon4	cds	+
PH02Gene08242	hic_scaffold_18	10538778	63	452	0.1393805309734513	cds5	exon5	cds	+
PH02Gene08242	hic_scaffold_18	10538839	116	452	0.2566371681415929	cds5	exon5	cds	+
PH02Gene08242	hic_scaffold_18	10538853	23	452	0.0508849557522123	cds5	exon5	cds	+
PH02Gene14126	hic_scaffold_15	57512565	89	278	0.3201438848920863	utr5p1	exon1	utr5p	+
PH02Gene14126	hic_scaffold_15	57520606	79	300	0.2633333333333333	cds4	exon4	cds	+
PH02Gene14126	hic_scaffold_15	57520619	66	300	0.22	cds4	exon4	cds	+
PH02Gene14126	hic_scaffold_15	57520733	21	301	0.0697674418604651	cds5	exon5	cds	+
PH02Gene14126	hic_scaffold_15	57520737	56	302	0.1854304635761589	cds5	exon5	cds	+
PH02Gene14126	hic_scaffold_15	57520776	41	306	0.1339869281045751	cds5	exon5	cds	+
PH02Gene14126	hic_scaffold_15	57521180	84	322	0.2608695652173913	cds7	exon7	cds	+
PH02Gene14126	hic_scaffold_15	57521578	47	332	0.1415662650602409	cds9	exon9	cds	+
PH02Gene14126	hic_scaffold_15	57522120	20	350	0.0571428571428571	cds11	exon11	cds	+
PH02Gene14126	hic_scaffold_15	57522313	34	357	0.0952380952380952	cds12	exon12	cds	+
PH02Gene14126	hic_scaffold_15	57522835	116	389	0.2982005141388175	cds15	exon15	cds	+
PH02Gene14126	hic_scaffold_15	57523026	70	404	0.1732673267326732	cds16	exon16	cds	+
PH02Gene14126	hic_scaffold_15	57523413	227	416	0.5456730769230769	utr3p1	exon17	utr3p	+
PH02Gene14126	hic_scaffold_15	57523501	235	421	0.5581947743467933	utr3p1	exon17	utr3p	+
PH02Gene14126	hic_scaffold_15	57523508	151	421	0.3586698337292161	utr3p1	exon17	utr3p	+
PH02Gene14126	hic_scaffold_15	57523676	21	151	0.1390728476821192	utr3p1	exon17	utr3p	+
PH02Gene18842	hic_scaffold_2	15636776	46	191	0.2408376963350785	cds1	exon1	cds	+
PH02Gene18842	hic_scaffold_2	15638558	39	201	0.1940298507462686	cds2	exon2	cds	+
PH02Gene18842	hic_scaffold_2	15638582	166	201	0.8258706467661692	cds2	exon2	cds	+
PH02Gene18842	hic_scaffold_2	15638653	20	205	0.0975609756097561	cds2	exon2	cds	+
PH02Gene18842	hic_scaffold_2	15639665	28	206	0.1359223300970873	cds3	exon3	cds	+
PH02Gene18842	hic_scaffold_2	15639807	27	217	0.1244239631336405	cds3	exon3	cds	+
PH02Gene18842	hic_scaffold_2	15640429	26	229	0.1135371179039301	utr3p1	exon4	utr3p	+
PH02Gene18842	hic_scaffold_2	15640454	119	229	0.519650655021834	utr3p1	exon4	utr3p	+
PH02Gene18842	hic_scaffold_2	15640571	104	162	0.6419753086419753	utr3p1	exon4	utr3p	+
PH02Gene04423	hic_scaffold_15	33184339	934	2405	0.3883575883575884	cds3	exon4	cds	+
PH02Gene04423	hic_scaffold_15	33184498	551	2428	0.2269357495881384	cds4	exon5	cds	+
PH02Gene04423	hic_scaffold_15	33184838	978	2557	0.3824794681267109	cds5	exon6	cds	+
PH02Gene04423	hic_scaffold_15	33184853	1568	2563	0.611783066718689	cds5	exon6	cds	+
PH02Gene04423	hic_scaffold_15	33184972	1232	2588	0.4760432766615147	cds6	exon7	cds	+
PH02Gene04423	hic_scaffold_15	33185021	897	2613	0.3432835820895522	cds6	exon7	cds	+
PH02Gene04423	hic_scaffold_15	33185040	776	2633	0.2947208507406	cds6	exon7	cds	+
PH02Gene04423	hic_scaffold_15	33185087	611	2664	0.2293543543543543	cds6	exon7	cds	+
