gene_name	scaffold	position	mod_num	total_num	mod_ratio	label	exon_label	label_group	strand
PH02Gene13354	hic_scaffold_21	67274032	26	33	0.7878787878787878	cds3	exon4	cds	+
PH02Gene13354	hic_scaffold_21	67274798	26	39	0.6666666666666666	cds5	exon6	cds	+
PH02Gene13354	hic_scaffold_21	67274934	21	40	0.525	cds6	exon7	cds	+
PH02Gene13354	hic_scaffold_21	67276292	28	44	0.6363636363636364	cds9	exon10	cds	+
PH02Gene13354	hic_scaffold_21	67276595	41	63	0.6507936507936508	cds9	exon10	cds	+
PH02Gene13354	hic_scaffold_21	67276888	22	28	0.7857142857142857	utr3p1	exon10	utr3p	+
PH02Gene10241	hic_scaffold_20	49711782	26	33	0.7878787878787878	utr3p1	exon9	utr3p	-
PH02Gene10241	hic_scaffold_20	49711807	28	34	0.8235294117647058	utr3p1	exon9	utr3p	-
PH02Gene10241	hic_scaffold_20	49711907	43	63	0.6825396825396826	utr3p1	exon9	utr3p	-
PH02Gene10241	hic_scaffold_20	49712086	33	62	0.532258064516129	cds9	exon9	cds	-
PH02Gene36193	hic_scaffold_4	47856417	261	589	0.4431239388794567	utr3p1	exon5	utr3p	-
PH02Gene36193	hic_scaffold_4	47856473	203	585	0.347008547008547	utr3p1	exon5	utr3p	-
PH02Gene36193	hic_scaffold_4	47856571	21	565	0.0371681415929203	cds5	exon5	cds	-
PH02Gene36193	hic_scaffold_4	47856612	364	554	0.6570397111913358	cds5	exon5	cds	-
PH02Gene36193	hic_scaffold_4	47857766	53	548	0.0967153284671532	cds4	exon4	cds	-
PH02Gene36193	hic_scaffold_4	47857773	74	548	0.1350364963503649	cds4	exon4	cds	-
PH02Gene36193	hic_scaffold_4	47857789	247	541	0.4565619223659889	cds4	exon4	cds	-
PH02Gene36193	hic_scaffold_4	47858015	364	526	0.6920152091254753	cds3	exon3	cds	-
PH02Gene36193	hic_scaffold_4	47858044	87	516	0.1686046511627907	cds3	exon3	cds	-
PH02Gene36193	hic_scaffold_4	47858165	243	508	0.4783464566929133	cds2	exon2	cds	-
PH02Gene36193	hic_scaffold_4	47858228	31	492	0.0630081300813008	cds2	exon2	cds	-
